Name;Path;URL;Kolonne1;Kolonne3
AAP, nedsatt arbeidsevne og uføretrygd - statistikk;/www.nav.no/no/nav-og-samfunn/statistikk/aap-nedsatt-arbeidsevne-og-uforetrygd-statistikk;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
Aa-registeret;/www.nav.no/no/bedrift/tjenester-og-skjemaer/aa-registeret-og-a-meldingen;;;
Agder;/www.nav.no/no/lokalt/agder;https://www-x4.nav.no/sok?f=4&uf=0&daterange=-1&ord=&c=1&s=0;;
Akershus;/www.nav.no/no/lokalt/akershus;;;
Alderspensjon;/www.nav.no/no/person/pensjon/alderspensjon;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Analyser fra NAV;/www.nav.no/no/nav-og-samfunn/kunnskap/analyser-fra-nav;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
Andre pensjonsordninger;/www.nav.no/no/person/pensjon/andre-pensjonsordninger;https://www-x4.nav.no/sok?f=1&uf=7&daterange=-1&ord=&c=1&s=0;;
Arbeid og opphold i Norge;/www.nav.no/no/person/flere-tema/arbeid-og-opphold-i-norge;https://www-x4.nav.no/sok?f=1&uf=5&daterange=-1&ord=&c=1&s=0;;
Arbeid og opphold i utlandet;/www.nav.no/no/person/flere-tema/arbeid-og-opphold-i-utlandet;https://www-x4.nav.no/sok?f=1&uf=5&daterange=-1&ord=&c=1&s=0;;
Arbeidslivskriminalitet og trygdesvindel;/www.nav.no/no/nav-og-samfunn/samarbeid/arbeidslivskriminalitet-og-trygdesvindel;;;
Arbeidssøkere og stillinger - statistikk;/www.nav.no/no/nav-og-samfunn/statistikk/arbeidssokere-og-stillinger-statistikk;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
Arrangementer;/www.nav.no/no/nav-og-samfunn/kunnskap/arrangementer;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Aust-Agder;/www.nav.no/no/lokalt/aust-agder;https://www-x4.nav.no/sok?f=4&uf=1&daterange=-1&ord=&c=1&s=0;;
Barnebidrag;/www.nav.no/no/person/familie/barne-og-ektefellebidrag;https://www-x4.nav.no/sok?f=1&uf=3&daterange=-1&ord=&c=1&s=0;;
Barnetrygd og kontantstøtte;/www.nav.no/no/person/familie/barnetrygd-og-kontantstotte;https://www-x4.nav.no/sok?f=1&uf=3&daterange=-1&ord=&c=1&s=0;;
Bedrift;/www.nav.no/no/bedrift;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
Buskerud;/www.nav.no/no/lokalt/buskerud;https://www-x4.nav.no/sok?f=4&uf=2&daterange=-1&ord=&c=1&s=0;;
Dagpenger ved arbeidsløshet og permittering;/www.nav.no/no/person/arbeid/dagpenger-ved-arbeidsloshet-og-permittering;https://www-x4.nav.no/sok?f=1&uf=0&daterange=-1&ord=&c=1&s=0;;
Ditt NAV;/www.nav.no/no/ditt-nav;;;
Enslig mor eller far;/www.nav.no/no/person/familie/enslig-mor-eller-far;https://www-x4.nav.no/sok?f=1&uf=3&daterange=-1&ord=&c=1&s=0;;
Familie - statistikk;/www.nav.no/no/nav-og-samfunn/statistikk/familie-statistikk;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
Finnmark;/www.nav.no/no/lokalt/finnmark;https://www-x4.nav.no/sok?f=4&uf=3&daterange=-1&ord=&c=1&s=0;;
Flere statistikkområder;/www.nav.no/no/nav-og-samfunn/statistikk/flere-statistikkomrader;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
For kommunen;/www.nav.no/no/nav-og-samfunn/samarbeid/for-kommunen;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Foreldre-, svangerskaps-, omsorgs-, pleie- og opplæringspenger;/www.nav.no/no/bedrift/tjenester-og-skjemaer/foreldre-svangerskaps-omsorgs-pleie-og-opplaringspenger;;;
Forskningsrapporter og evalueringer finansiert av NAV;/www.nav.no/no/nav-og-samfunn/kunnskap/forskningsrapporter-og-evalueringer-finansiert-av-nav;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Forskningsrapportmeny utkast;/www.nav.no/no/nav-og-samfunn/kunnskap/forskningsrapportmeny-utkast;;;
FoU-midler;/www.nav.no/no/nav-og-samfunn/kunnskap/fou-midler;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Grunn- og hjelpestønad;/www.nav.no/no/person/familie/grunn-og-hjelpestonad;https://www-x4.nav.no/sok?f=1&uf=3&daterange=-1&ord=&c=1&s=0;;
Hedmark;/www.nav.no/no/lokalt/hedmark;https://www-x4.nav.no/sok?f=4&uf=4&daterange=-1&ord=&c=1&s=0;;
Hjelpemidler - for samhandlere;/www.nav.no/no/nav-og-samfunn/samarbeid/hjelpemidler;https://www-x4.nav.no/sok?f=4&uf=4&daterange=-1&ord=&c=1&s=0;;
Hordaland;/www.nav.no/no/lokalt/hordaland;https://www-x4.nav.no/sok?f=4&uf=5&daterange=-1&ord=&c=1&s=0;;
Hva har du vansker med?;/www.nav.no/no/person/hjelpemidler/hva-har-du-vansker-med;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=0;;
Hvor trenger du hjelp?;/www.nav.no/no/person/hjelpemidler/hvor-trenger-du-hjelp;;;
Innlandet;/www.nav.no/no/lokalt/innlandet;https://www-x4.nav.no/sok?f=4&uf=6&daterange=-1&ord=&c=1&s=0;;
Kontakt oss;/www.nav.no/no/nav-og-samfunn/kontakt-nav/kontakt-oss;;;
Kunnskap og samfunn;/www.nav.no/no/nav-og-samfunn/kunnskap/kunnskap-og-samfunn;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Leger og andre behandlere;/www.nav.no/no/nav-og-samfunn/samarbeid/leger-og-andre-behandlere;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Menu;/www.nav.no/en/home;https://www-x4.nav.no/sok?f=1&uf=9&daterange=-1&ord=&c=1&s=0;;
Møre og Romsdal;/www.nav.no/no/lokalt/more-og-romsdal;https://www-x4.nav.no/sok?f=4&uf=7&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Agder;/www.nav.no/no/lokalt/agder/nav-arbeidslivssenter-agder;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Akershus;/www.nav.no/no/lokalt/akershus/nav-arbeidslivssenter-akershus;;;
NAV Arbeidslivssenter Aust-Agder;/www.nav.no/no/lokalt/aust-agder/nav-arbeidslivssenter-aust-agder;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Buskerud;/www.nav.no/no/lokalt/buskerud/nav-arbeidslivssenter-buskerud;;;
NAV Arbeidslivssenter Finnmark;/www.nav.no/no/lokalt/finnmark/nav-arbeidslivssenter-finnmark;;;
NAV Arbeidslivssenter Hedmark;/www.nav.no/no/lokalt/hedmark/nav-arbeidslivssenter-hedmark;;;
NAV Arbeidslivssenter Hordaland;/www.nav.no/no/lokalt/hordaland/nav-arbeidslivssenter-hordaland;;;
NAV Arbeidslivssenter Innlandet;/www.nav.no/no/lokalt/innlandet/nav-arbeidslivssenter-innlandet;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Møre og Romsdal;/www.nav.no/no/lokalt/more-og-romsdal/nav-arbeidslivssenter-more-og-romsdal;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Nordland;/www.nav.no/no/lokalt/nordland/nav-arbeidslivssenter-nordland;;;
NAV Arbeidslivssenter Oppland;/www.nav.no/no/lokalt/oppland/nav-arbeidslivssenter-oppland;;;
NAV Arbeidslivssenter Oslo;/www.nav.no/no/lokalt/oslo/nav-arbeidslivssenter-oslo;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Rogaland;/www.nav.no/no/lokalt/rogaland/nav-arbeidslivssenter-rogaland;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Sogn og Fjordane;/www.nav.no/no/lokalt/sogn-og-fjordane/nav-arbeidslivssenter-sogn-og-fjordane;;;
NAV Arbeidslivssenter Telemark;/www.nav.no/no/lokalt/telemark/nav-arbeidslivssenter-telemark;;;
NAV Arbeidslivssenter Troms;/www.nav.no/no/lokalt/troms/nav-arbeidslivssenter-troms;;;
NAV Arbeidslivssenter Troms og Finnmark;/www.nav.no/no/lokalt/troms-og-finnmark/nav-arbeidslivssenter-troms-og-finnmark;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
NAV Arbeidslivssenter Trøndelag;/www.nav.no/no/lokalt/trondelag/nav-arbeidslivssenter-trondelag;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
